team,played,win,draw,loss,GF,GA,Gdiff,Gper,pts,bonusPts,finalsWin,finalsLoss,year,coach,minorPremiership,premiership,runnerUp,competition
Firebirds,14,7,1,6,778,756,22,103.0,15,,,,2017,Roselee Jencke,No,No,No,SSN
Swifts,14,3,1,10,726,792,-66,92.0,7,,,,2017,Rob Wright,No,No,No,SSN
Fever,14,2,0,12,670,779,-109,86.0,4,,,,2017,Stacey Marinkovich,No,No,No,SSN
Thunderbirds,14,1,0,13,648,792,-144,82.0,2,,,,2017,Dan Ryan,No,No,No,SSN
Giants,14,10,1,3,841,776,65,108.4,76,34.0,,1.0,2018,Julie Fitzgerald,Yes,No,No,SSN
Fever,14,10,0,4,912,851,61,107.2,71,31.0,1.0,2.0,2018,Stacey Marinkovich,No,No,Yes,SSN
Firebirds,14,9,0,5,858,751,107,114.2,69,33.0,,1.0,2018,Roselee Jencke,No,No,No,SSN
Lightning,14,8,1,5,809,752,57,107.6,69,35.0,3.0,,2018,Noeline Taurua,No,Yes,No,SSN
Vixens,14,8,0,6,855,814,41,105.0,59,27.0,,,2018,Simone McKinnis,No,No,No,SSN
Swifts,14,6,1,7,814,816,-2,99.8,48,22.0,,,2018,Briony Akle,No,No,No,SSN
Magpies,14,3,1,10,801,858,-57,93.4,39,25.0,,,2018,Kristy Keppich-Birrell,No,No,No,SSN
Thunderbirds,14,0,0,14,673,945,-272,71.2,4,4.0,,,2018,Dan Ryan,No,No,No,SSN
Lightning,14,12,0,2,855,759,96,112.65,81,33.0,1.0,1.0,2019,Noeline Taurua,Yes,No,Yes,SSN
Swifts,14,10,1,3,845,755,90,111.92,78,36.0,2.0,1.0,2019,Briony Akle,No,Yes,No,SSN
Vixens,14,8,1,5,836,775,61,107.87,63,29.0,1.0,1.0,2019,Simone McKinnis,No,No,No,SSN
Magpies,14,7,2,5,788,771,17,102.2,59,27.0,,1.0,2019,Rob Wright,No,No,No,SSN
Giants,14,7,1,6,834,821,13,101.58,59,29.0,,,2019,Julie Fitzgerald,No,No,No,SSN
Fever,14,2,3,9,821,904,-83,90.82,33,18.0,,,2019,Stacey Marinkovich,No,No,No,SSN
Thunderbirds,14,3,2,9,708,803,-95,88.17,30,14.0,,,2019,Tania Obst,No,No,No,SSN
Firebirds,14,1,2,11,815,914,-99,89.17,26,18.0,,,2019,Roselee Jencke,No,No,No,SSN
Vixens,14,11,1,2,870,769,101,113.33,46,,2.0,,2020,Simone McKinnis,Yes,Yes,No,SSN
Lightning,14,9,0,5,821,824,-3,99.64,36,,,2.0,2020,Kylee Byrne,No,No,No,SSN
Fever,14,8,1,5,964,897,67,107.46,34,,2.0,1.0,2020,Stacey Marinkovich,No,No,Yes,SSN
Swifts,14,8,1,5,898,885,13,101.46,34,,,1.0,2020,Briony Akle,No,No,No,SSN
Firebirds,14,6,1,7,851,893,-42,95.29,26,,,,2020,Roselee Jencke,No,No,No,SSN
Giants,14,5,2,7,885,891,-6,99.32,24,,,,2020,Julie Fitzgerald,No,No,No,SSN
Thunderbirds,14,5,0,9,769,797,-28,96.48,20,,,,2020,Tania Obst,No,No,No,SSN
Magpies,14,1,0,13,770,872,-102,88.3,4,,,,2020,Rob Wright,No,No,No,SSN
Giants,14,9,0,5,853,797,56,107.03,36,,,,2021,Julie Fitzgerald,Yes,No,No,SSN
Swifts,14,9,0,5,853,808,45,105.57,36,,,,2021,Briony Akle,No,No,No,SSN
Fever,14,11,0,3,976,835,141,116.89,32,,,,2021,Stacey Marinkovich,No,No,No,SSN
Lightning,14,8,0,6,825,834,-9,98.92,32,,,,2021,Kylee Byrne,No,No,No,SSN
Firebirds,14,6,0,8,880,873,7,100.8,24,,,,2021,Megan Anderson,No,No,No,SSN
Magpies,14,6,0,8,829,882,-53,93.99,24,,,,2021,Nicole Richardson,No,No,No,SSN
Thunderbirds,14,5,0,9,764,835,-71,91.5,20,,,,2021,Tania Obst,No,No,No,SSN
Vixens,14,2,0,12,718,834,-116,86.09,8,,,,2021,Simone McKinnis,No,No,No,SSN
