variable,Q1,Q2,Q3,Q4
Goals,10,13,10,11
Interceptions,9,5,6,8
Deflections,4,4,4,6
Match Play Errors,5,4,2,2
Contact Penalties,13,15,11,11
Obstruction Penalties,2,3,4,1
Time in Possession,6:55,7:10,6:56,7:23
Goals,5,10,7,10
Interceptions,5,5,5,7
Deflections,,6,5,
Match Play Errors,5,3,1,4
Contact Penalties,9,11,10,4
Obstruction Penalties,6,8,2,2
Time in Possession,5:28,7:36,8:10,7:53
Goals,14,10,8,9
Interceptions,7,10,8,10
Deflections,3,5,6,5
Match Play Errors,3,2,1,6
Contact Penalties,9,11,17,11
Obstruction Penalties,2,4,4,10
Time in Possession,9:27,7:20,6:46,7:02
Goals,11,13,9,10
Interceptions,1,2,2,3
Deflections,1,5,1,1
Match Play Errors,3,1,3,1
Contact Penalties,15,12,20,16
Obstruction Penalties,3,6,2,5
Time in Possession,5:46,6:06,6:13,6:06
Goals,14,14,13,15
Interceptions,5,6,4,5
Deflections,2,1,2,2
Match Play Errors,2,,2,1
Contact Penalties,5,15,13,10
Obstruction Penalties,5,,4,3
Time in Possession,9:12,8:51,8:44,8:50
Goals,15,16,16,18
Interceptions,7,9,7,8
Deflections,7,5,2,7
Match Play Errors,3,2,1,1
Contact Penalties,8,8,15,13
Obstruction Penalties,3,10,4,7
Time in Possession,7:11,7:16,6:43,6:55
Goals,12,13,11,10
Interceptions,9,4,3,5
Deflections,1,3,3,2
Match Play Errors,1,2,2,1
Contact Penalties,4,10,10,10
Obstruction Penalties,2,1,6,3
Time in Possession,7:47,7:40,8:15,7:15
Goals,8,16,9,11
Interceptions,6,4,5,2
Deflections,2,6,,4
Match Play Errors,2,,5,2
Contact Penalties,15,8,12,8
Obstruction Penalties,7,2,3,5
Time in Possession,6:20,8:28,7:32,7:05
Goals,15,10,14,15
Interceptions,5,7,2,7
Deflections,3,,1,3
Match Play Errors,2,2,2,2
Contact Penalties,11,19,13,15
Obstruction Penalties,1,5,2,3
Time in Possession,8:37,6:29,7:26,7:52
Goals,5,11,7,8
Interceptions,10,5,8,6
Deflections,3,1,6,3
Match Play Errors,6,1,4,3
Contact Penalties,14,16,8,7
Obstruction Penalties,4,6,4,2
Time in Possession,6:16,6:56,6:50,6:29
Goals,17,18,14,14
Interceptions,11,6,12,7
Deflections,9,4,5,3
Match Play Errors,4,2,4,2
Contact Penalties,8,11,12,13
Obstruction Penalties,5,3,2,
Time in Possession,8:40,8:02,8:07,8:29
Goals,10,12,10,11
Interceptions,8,4,4,4
Deflections,2,5,5,3
Match Play Errors,1,1,1,2
Contact Penalties,12,6,5,6
Obstruction Penalties,4,3,5,
Time in Possession,7:13,9:09,7:03,7:27
Goals,10,6,9,8
Interceptions,6,6,7,6
Deflections,6,,4,4
Match Play Errors,2,5,2,3
Contact Penalties,6,15,12,11
Obstruction Penalties,9,2,5,7
Time in Possession,7:44,5:46,7:53,7:27
Goals,17,11,13,15
Interceptions,4,3,2,4
Deflections,3,,,1
Match Play Errors,1,,1,1
Contact Penalties,9,19,11,15
Obstruction Penalties,,1,5,4
Time in Possession,8:00,6:42,6:30,6:52
Goals,13,17,18,14
Interceptions,7,1,3,3
Deflections,2,2,4,5
Match Play Errors,2,,,2
Contact Penalties,14,13,10,8
Obstruction Penalties,3,5,5,2
Time in Possession,6:57,8:13,8:28,8:04
Goals,13,8,16,11
Interceptions,3,,4,5
Deflections,4,1,1,3
Match Play Errors,,4,,2
Contact Penalties,14,19,22,15
Obstruction Penalties,4,12,3,5
Time in Possession,6:00,4:19,6:32,5:59
Goals,15,15,11,13
Interceptions,6,6,4,5
Deflections,3,3,3,2
Match Play Errors,3,2,1,1
Contact Penalties,10,6,13,12
Obstruction Penalties,1,3,3,4
Time in Possession,8:58,10:38,8:26,8:57
Goals,18,18,16,15
Interceptions,5,3,8,6
Deflections,3,2,2,3
Match Play Errors,1,,4,2
Contact Penalties,5,13,6,6
Obstruction Penalties,1,5,,3
Time in Possession,8:56,6:51,7:53,7:18
Goals,9,13,13,16
Interceptions,3,3,2,7
Deflections,1,,4,5
Match Play Errors,3,,2,2
Contact Penalties,9,12,5,10
Obstruction Penalties,2,6,7,
Time in Possession,6:01,8:05,7:04,7:41
Goals,12,11,13,15
Interceptions,3,5,2,4
Deflections,4,2,2,5
Match Play Errors,1,4,2,
Contact Penalties,10,16,17,13
Obstruction Penalties,7,2,5,3
Time in Possession,7:35,6:42,6:45,7:38
Goals,15,14,16,15
Interceptions,5,2,5,6
Deflections,3,4,2,3
Match Play Errors,4,,2,2
Contact Penalties,15,9,15,10
Obstruction Penalties,4,5,5,2
Time in Possession,7:22,8:16,8:12,7:20
Goals,14,15,12,14
Interceptions,5,6,4,5
Deflections,1,2,1,3
Match Play Errors,,1,2,2
Contact Penalties,10,16,12,10
Obstruction Penalties,4,8,7,10
Time in Possession,6:37,8:27,7:15,8:28
Goals,13,10,12,13
Interceptions,2,6,5,6
Deflections,3,3,1,2
Match Play Errors,2,2,1,
Contact Penalties,8,10,13,14
Obstruction Penalties,4,6,,1
Time in Possession,8:19,6:28,7:39,6:11
Goals,12,17,10,12
Interceptions,3,4,6,7
Deflections,8,1,4,5
Match Play Errors,3,1,4,4
Contact Penalties,8,11,8,16
Obstruction Penalties,2,3,3,2
Time in Possession,6:06,7:52,6:55,7:09
Goals,14,15,16,10
Interceptions,7,4,5,8
Deflections,3,3,6,4
Match Play Errors,1,3,2,3
Contact Penalties,14,12,23,15
Obstruction Penalties,5,7,7,6
Time in Possession,8:51,7:05,8:04,7:49
