matchNo,team,opponent,matchType,name,courtPosition_Q1,courtPosition_Q2,courtPosition_Q3,courtPosition_Q4,minutesPlayed,goalsScored,goalsAttempted,shootingPer,goalAssists,feeds,centrePassReceives,gains,intercepts,deflections,attackingRebounds,defensiveRebounds,pickups,contactPenalties,obstructionPenalties,offsides,badHands,footwork,otherError
20,Trinidad and Tobago,New Zealand,Pool,COOPER Joelisa,GA,GA,GA,GA,60,13,15,87,6,6,2,,,,,,3,1,2,,2,,1
20,Trinidad and Tobago,New Zealand,Pool,DILLON Tianna,,,,,,,,,,,,,,,,,,,,,,,
20,Trinidad and Tobago,New Zealand,Pool,DOUGLAS Oprah,C,C,,,25,,,,1,2,,1,,,,,3,1,1,,2,,1
20,Trinidad and Tobago,New Zealand,Pool,GREENE Shaquanda,GK,GK,GK,GK,60,,,,,,,2,1,3,,,2,11,7,,,,
20,Trinidad and Tobago,New Zealand,Pool,HAGLEY Faith,,C,C,C,35,,,,5,8,,1,,,,,3,4,1,,2,,1
20,Trinidad and Tobago,New Zealand,Pool,HOLLINGSWORTH Tahirah,,,,,,,,,,,,,,,,,,,,,,,
20,Trinidad and Tobago,New Zealand,Pool,"MC,EACHRANE Jeresia",WD,WD,GD,GD,44,,,,,,6,1,,1,,1,1,8,3,,2,,1
20,Trinidad and Tobago,New Zealand,Pool,NOEL Afeisha,GS,GS,GS,GS,60,11,12,92,2,2,,,,,1,,,,,,,1,
20,Trinidad and Tobago,New Zealand,Pool,SEEMUNGAL Shantel,WA,WA,WA,WA,60,,,,8,14,25,,,,,,3,2,,1,2,,
21,South Africa,Wales,Pool,CHAWANE Khanyisa,WD,C,C,C,49,,,,14,19,3,3,,1,,,3,9,,,,,
21,South Africa,Wales,Pool,GRIESEL Izette,C,C,,C,26,,,,7,11,,,,,,,,1,1,,,,1
21,South Africa,Wales,Pool,MAWENI Phumza,GK,GK,GK,GK,49,,,,,,,4,,5,,3,5,10,9,,,,
21,South Africa,Wales,Pool,MDAU Tshina,,,,WD,15,,,,,,5,,,1,,,1,5,1,,1,,
21,South Africa,Wales,Pool,MSOMI Bongiwe,WA,WA,WA,WA,45,,,,22,25,20,1,,1,,,1,,,,4,,
21,South Africa,Wales,Pool,RADEMAN Lefebre,,,,WA,15,,,,3,4,7,,,,,,2,2,,,,,
21,South Africa,Wales,Pool,SMITH Nicola,,GD,GD,GK,45,,,,,,4,6,,3,,4,2,5,3,,,,
21,South Africa,Wales,Pool,TALJAARD Nichole,,,,GA,15,1,1,100,8,8,4,,,,,,,2,,,,1,
21,South Africa,Wales,Pool,VAN DER BERG Elmere,GA,GA,GA,GS,60,35,39,90,7,9,9,1,1,1,2,,,5,2,,2,,
21,South Africa,Wales,Pool,VAN DER MERWE Shadine,,WD,WD,WD,30,,,,,,3,,,3,,,1,5,1,,1,,
21,South Africa,Wales,Pool,VENTER Ine-Mari,GS,GS,GS,GA,45,33,36,92,7,7,,,,,3,,,,,,,,
21,South Africa,Wales,Pool,VIMBELA Zanele,GD,GD,,GD,26,,,,,,4,,,1,,,,5,5,,,,
21,Wales,South Africa,Pool,CREAK Betsy,GA,GA,GS,GS,60,26,37,70,8,10,10,,,,,,3,1,1,,1,,1
21,Wales,South Africa,Pool,DRANE Suzy,C,C,C,,43,,,,10,13,,,,,,,1,2,1,,,,
21,Wales,South Africa,Pool,DYKE Bethan,WA,WA,WA,WA,60,,,,20,42,29,,,,,,3,4,,,1,,
21,Wales,South Africa,Pool,JONES Clare,,,C,C,17,,,,4,6,,1,1,,,,,,1,,,,
21,Wales,South Africa,Pool,JONES Nia,WD,WD,WD,WD,60,,,,1,1,15,3,3,1,,,2,10,,,1,,1
21,Wales,South Africa,Pool,O'DWYER Shona,,,,,,,,,,,,,,,,,,,,,,,
21,Wales,South Africa,Pool,POWELL-DAVIES Ella,GD,GD,GD,GD,49,,,,,,,1,1,1,,,2,4,2,,,,
21,Wales,South Africa,Pool,ROBERTS Eleanor,,,GA,GA,17,4,5,80,4,8,3,,,,,,2,,,,1,,
21,Wales,South Africa,Pool,ROWE Georgia,GS,GS,GS,,43,21,25,84,1,1,,,,,3,,,2,,,1,,1
21,Wales,South Africa,Pool,SHAW Christina,GK,GK,GK,,38,,,,,,,,,1,,,4,1,2,,,,
21,Wales,South Africa,Pool,THOMAS Leila,,GD,GK,GK,33,,,,,,,1,,,,1,,4,2,,,,
21,Wales,South Africa,Pool,YARRANTON Phillipa,,,,,,,,,,,,,,,,,,,,,,,
22,Uganda,Northern Ireland,Pool,ACHAN Jesca,,,C,C,15,,,,2,3,,1,1,,,,,1,3,,,,
22,Uganda,Northern Ireland,Pool,BAAGALA Margret,C,C,C,C,45,,,,12,17,,1,,,,,3,4,,,,,
22,Uganda,Northern Ireland,Pool,CHOLHOK Mary Nuba,GS,GS,GS,GS,60,41,46,89,3,4,,,,,2,,,1,2,,,,
22,Uganda,Northern Ireland,Pool,EYARU Irene,GA,GA,GA,,30,8,9,89,2,5,4,,,,,,,2,3,,1,1,
22,Uganda,Northern Ireland,Pool,HANIISHA Muhameed Nakaate,,,,GK,15,,,,,,,2,1,4,,1,,3,,,,,
22,Uganda,Northern Ireland,Pool,LUNKUSE Norah,,,,WA,15,,,,4,6,4,,,,,,,,1,,,,
22,Uganda,Northern Ireland,Pool,NALWANJA Shaffie,GK,GK,GK,GK,45,,,,,,,7,2,5,,1,6,5,2,,,,
22,Uganda,Northern Ireland,Pool,NAMBIRIGE Sandra Ruth,WD,WD,WD,WD,60,,,,,,6,1,,5,,,4,7,4,,,,
22,Uganda,Northern Ireland,Pool,NAMPUNGU Joan,GD,GD,GD,GD,60,,,,,,8,6,1,3,,2,5,5,5,,1,,
22,Uganda,Northern Ireland,Pool,NASSANGA Shadiah Ssegujja,,,GA,GA,30,14,15,93,15,16,7,,,,1,,3,1,,,,,
22,Uganda,Northern Ireland,Pool,OYELLA Stella,WA,WA,WA,WA,45,,,,24,28,9,1,1,,,,1,2,,,1,,
22,Uganda,Northern Ireland,Pool,PEACE Proscovia,,,,,,,,,,,,,,,,,,,,,,,
22,Northern Ireland,Uganda,Pool,BOWMAN Jenna,,GS,GS,GS,17,2,8,25,,,,,,,2,,,2,,,,,
22,Northern Ireland,Uganda,Pool,COOPER Niamh,WD,WD,WD,WD,45,,,,1,1,1,,,2,,,1,6,5,,,,
22,Northern Ireland,Uganda,Pool,CROSBIE Ciara,GS,GA,GA,GA,52,14,20,70,1,2,7,,,2,1,,1,5,4,,1,,
22,Northern Ireland,Uganda,Pool,DRAYNE Michelle,WA,WA,C,C,38,,,,8,22,7,,,1,,,1,3,,,,1,1
22,Northern Ireland,Uganda,Pool,KEENAN Frances,,WA,WA,WA,23,,,,1,4,13,,,,,,,1,1,,,,1
22,Northern Ireland,Uganda,Pool,MAGEE Emma,GA,GA,GS,GS,43,7,11,64,5,7,4,,,1,,,,6,2,,1,,
22,Northern Ireland,Uganda,Pool,MAGEE Michelle,GK,GK,GD,GD,55,,,,,,,7,4,4,,1,4,9,3,1,,,
22,Northern Ireland,Uganda,Pool,MCCANN Maria,,,,GD,5,,,,,,1,,,1,,,,1,2,,,,
22,Northern Ireland,Uganda,Pool,MCDONALD Olivia,,,GK,GK,30,,,,,,,1,,,,1,,6,2,,,,
22,Northern Ireland,Uganda,Pool,MCGRATH Georgie,,,,GA,8,3,5,60,1,1,,,,,,,2,1,,,,,
