matchNo,team,opponent,matchType,quarter,goalsScored,intercepts,deflections,contactPenalties,obstructionPenalties,totalPenalties,totalErrors,timeInPossessionSecs
29,South Africa,Scotland,Pool,Q1,15,7,7,8,3,11,3,431
29,South Africa,Scotland,Pool,Q2,16,9,5,8,10,18,2,436
29,South Africa,Scotland,Pool,Q3,16,7,2,15,4,19,1,403
29,South Africa,Scotland,Pool,Q4,18,8,7,13,7,20,1,415
29,Scotland,South Africa,Pool,Q1,12,9,1,4,2,6,1,467
29,Scotland,South Africa,Pool,Q2,13,4,3,10,1,11,2,460
29,Scotland,South Africa,Pool,Q3,11,3,3,10,6,16,2,495
29,Scotland,South Africa,Pool,Q4,10,5,2,10,3,13,1,435
30,New Zealand,England,Pool,Q1,8,6,2,15,7,22,2,380
30,New Zealand,England,Pool,Q2,16,4,6,8,2,10,0,508
30,New Zealand,England,Pool,Q3,9,5,0,12,3,15,5,452
30,New Zealand,England,Pool,Q4,11,2,4,8,5,13,2,425
30,England,New Zealand,Pool,Q1,15,5,3,11,1,12,2,517
30,England,New Zealand,Pool,Q2,10,7,0,19,5,24,2,389
30,England,New Zealand,Pool,Q3,14,2,1,13,2,15,2,446
30,England,New Zealand,Pool,Q4,15,7,3,15,3,18,2,472
31,Barbados,Trinidad and Tobago,Classification,Q1,5,10,3,14,4,18,6,376
31,Barbados,Trinidad and Tobago,Classification,Q2,11,5,1,16,6,22,1,416
31,Barbados,Trinidad and Tobago,Classification,Q3,7,8,6,8,4,12,4,410
31,Barbados,Trinidad and Tobago,Classification,Q4,8,6,3,7,2,9,3,389
31,Trinidad and Tobago,Barbados,Classification,Q1,17,11,9,8,5,13,4,520
31,Trinidad and Tobago,Barbados,Classification,Q2,18,6,4,11,3,14,2,482
31,Trinidad and Tobago,Barbados,Classification,Q3,14,12,5,12,2,14,4,487
31,Trinidad and Tobago,Barbados,Classification,Q4,14,7,3,13,0,13,2,509
32,Scotland,Northern Ireland,Classification,Q1,10,8,2,12,4,16,1,433
32,Scotland,Northern Ireland,Classification,Q2,12,4,5,6,3,9,1,549
32,Scotland,Northern Ireland,Classification,Q3,10,4,5,5,5,10,1,423
32,Scotland,Northern Ireland,Classification,Q4,11,4,3,6,0,6,2,447
32,Northern Ireland,Scotland,Classification,Q1,10,6,6,6,9,15,2,464
32,Northern Ireland,Scotland,Classification,Q2,6,6,0,15,2,17,5,346
32,Northern Ireland,Scotland,Classification,Q3,9,7,4,12,5,17,2,473
32,Northern Ireland,Scotland,Classification,Q4,8,6,4,11,7,18,3,447
33,Wales,Malawi,Classification,Q1,17,4,3,9,0,9,1,480
33,Wales,Malawi,Classification,Q2,11,3,0,19,1,20,0,402
33,Wales,Malawi,Classification,Q3,13,2,0,11,5,16,1,390
33,Wales,Malawi,Classification,Q4,15,4,1,15,4,19,1,412
33,Malawi,Wales,Classification,Q1,13,7,2,14,3,17,2,417
33,Malawi,Wales,Classification,Q2,17,1,2,13,5,18,0,493
33,Malawi,Wales,Classification,Q3,18,3,4,10,5,15,0,508
33,Malawi,Wales,Classification,Q4,14,3,5,8,2,10,2,484
34,South Africa,Uganda,Classification,Q1,13,3,4,14,4,18,0,360
34,South Africa,Uganda,Classification,Q2,8,0,1,19,12,31,4,259
34,South Africa,Uganda,Classification,Q3,16,4,1,22,3,25,0,392
34,South Africa,Uganda,Classification,Q4,11,5,3,15,5,20,2,359
34,Uganda,South Africa,Classification,Q1,15,6,3,10,1,11,3,538
34,Uganda,South Africa,Classification,Q2,15,6,3,6,3,9,2,638
34,Uganda,South Africa,Classification,Q3,11,4,3,13,3,16,1,506
34,Uganda,South Africa,Classification,Q4,13,5,2,12,4,16,1,537
35,Jamaica,New Zealand,Semi Final,Q1,18,5,3,5,1,6,1,536
35,Jamaica,New Zealand,Semi Final,Q2,18,3,2,13,5,18,0,411
35,Jamaica,New Zealand,Semi Final,Q3,16,8,2,6,0,6,4,473
35,Jamaica,New Zealand,Semi Final,Q4,15,6,3,6,3,9,2,438
35,New Zealand,Jamaica,Semi Final,Q1,9,3,1,9,2,11,3,361
35,New Zealand,Jamaica,Semi Final,Q2,13,3,0,12,6,18,0,485
35,New Zealand,Jamaica,Semi Final,Q3,13,2,4,5,7,12,2,424
35,New Zealand,Jamaica,Semi Final,Q4,16,7,5,10,0,10,2,461
36,England,Australia,Semi Final,Q1,12,3,4,10,7,17,1,455
36,England,Australia,Semi Final,Q2,11,5,2,16,2,18,4,402
36,England,Australia,Semi Final,Q3,13,2,2,17,5,22,2,405
36,England,Australia,Semi Final,Q4,15,4,5,13,3,16,0,458
36,Australia,England,Semi Final,Q1,15,5,3,15,4,19,4,442
36,Australia,England,Semi Final,Q2,14,2,4,9,5,14,0,496
36,Australia,England,Semi Final,Q3,16,5,2,15,5,20,2,492
36,Australia,England,Semi Final,Q4,15,6,3,10,2,12,2,440
37,New Zealand,England,Medal,Q1,14,5,1,10,4,14,0,397
37,New Zealand,England,Medal,Q2,15,6,2,16,8,24,1,507
37,New Zealand,England,Medal,Q3,12,4,1,12,7,19,2,435
37,New Zealand,England,Medal,Q4,14,5,3,10,10,20,2,508
37,England,New Zealand,Medal,Q1,13,2,3,8,4,12,2,499
37,England,New Zealand,Medal,Q2,10,6,3,10,6,16,2,388
37,England,New Zealand,Medal,Q3,12,5,1,13,0,13,1,459
37,England,New Zealand,Medal,Q4,13,6,2,14,1,15,0,371
38,Jamaica,Australia,Medal,Q1,12,3,8,8,2,10,3,366
38,Jamaica,Australia,Medal,Q2,17,4,1,11,3,14,1,472
38,Jamaica,Australia,Medal,Q3,10,6,4,8,3,11,4,415
38,Jamaica,Australia,Medal,Q4,12,7,5,16,2,18,4,429
38,Australia,Jamaica,Medal,Q1,14,7,3,14,5,19,1,531
38,Australia,Jamaica,Medal,Q2,15,4,3,12,7,19,3,425
38,Australia,Jamaica,Medal,Q3,16,5,6,23,7,30,2,484
38,Australia,Jamaica,Medal,Q4,10,8,4,15,6,21,3,469
